%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
518	132.408	183.486	0	0	2810.5	0.257451	0.878897	1523020153587
519	129.733	181.591	0	0	2804.5	0.181763	0.891704	1523020153619
520	126.853	179.45	0	0	2817	0.197008	0.883067	1523020153652
521	124.287	177.556	0	0	2818.5	0.240497	0.881399	1523020153684
522	121.889	175.755	0	0	2822.5	0.252241	0.889993	1523020153714
523	119.552	173.762	0	0	2825.5	0.253455	0.876328	1523020153746
524	117.007	171.481	0	0	2829	0.260825	0.889877	1523020153794
525	114.381	169.313	0	0	2839	0.280452	0.875411	1523020153826
526	111.897	167.166	0	0	2842	0.333179	0.883575	1523020153858
527	109.449	165.293	0	0	2847	0.238667	0.88513	1523020153890
528	107.152	163.452	0	0	2838.5	0.285395	0.88036	1523020153922
529	104.324	161.204	0	0	2850	0.297959	0.868688	1523020153954
530	101.741	159.101	0	0	2850	0.278766	0.878803	1523020153986
531	98.8675	156.777	0	0	2854.5	0.323087	0.858063	1523020154019
532	96.4152	154.516	0	0	2861	0.296217	0.857978	1523020154052
533	93.9455	152.415	0	0	2865.5	0.38114	0.868394	1523020154083
534	91.5398	150.389	0	0	2882	0.348448	0.861385	1523020154115
535	89.1582	148.304	0	0	2887	0.380571	0.862879	1523020154162
536	86.6777	146.249	0	0	2882.5	0.355592	0.849769	1523020154194
537	83.9023	143.864	0	0	2880	0.336003	0.860787	1523020154226
538	81.2041	141.482	0	0	2846.5	0.274661	0.858538	1523020154258
539	78.1956	138.791	0	0	2842.5	0.269036	0.871425	1523020154290
540	75.3885	136.248	0	0	2847	0.272919	0.860734	1523020154322
541	73.3601	134.247	0	0	2890.5	0.367981	0.829246	1523020154354
542	71.3007	132.524	0	0	2883	0.349909	0.816026	1523020154386
543	69.3166	131.044	0	0	2887	0.371776	0.855947	1523020154418
544	67.4725	129.47	0	0	2891.5	0.395911	0.83614	1523020154451
